"Id","Name","Created","User","Model","batch_size","embedding_dim","hybrid","lr","model_id","n_epochs","n_neg_per_pos","weight_decay","max_depth","min_samples_split","n_estimators","learning_rate","depth","iterations","l2_leaf_reg","@HR1","@HR3","@HR5","@HR10","@NDCG1","@NDCG3","@NDCG5","@NDCG10"
"6496ed9a997076f5a4518c8b","CatBoostRegressorCBUIRecommender","24-06-2023, 15:20:26","dzikafoczka","nn_recommender_model","","","","","","","10","","","","","0.02","6","600","3","0.04684317718940937","0.11031907671418872","0.16564833672776647","0.24405974202308214","0.04684317718940937","0.08506983843225825","0.10708402083674678","0.13289012740564235"
"6496ed65997076f5a4518c8a","XGBoostCBUIRecommender","24-06-2023, 15:19:33","dzikafoczka","nn_recommender_model","","","","","","","9","","3","4","197","0.013782403981999257","","","","0.05804480651731161","0.14222674813306177","0.18737270875763748","0.25220638153428376","0.05804480651731161","0.10538007838473593","0.12427298518810447","0.1452238631787998"
"6496ed2b997076f5a4518c89","RandomForestCBUIRecommender","24-06-2023, 15:18:35","dzikafoczka","nn_recommender_model","","","","","","","8","","7","7","172","","","","","0.05634758995247793","0.10488798370672098","0.15478615071283094","0.2338764426340801","0.05634758995247793","0.08572875820119404","0.10687658840061535","0.1317328454178854"
"6496ecd8997076f5a4518c88","LinearRegressionCBUIRecommender","24-06-2023, 15:17:12","dzikafoczka","nn_recommender_model","","","","","","","1","","","","","","","","","0.058723693143245076","0.14222674813306177","0.18499660556687034","0.2437202987101154","0.058723693143245076","0.10545286232179336","0.12335218853967787","0.1421562977638482"
"6496ecad997076f5a4518c87","NNRecommender5Hybrid","24-06-2023, 15:16:29","dzikafoczka","nn_recommender_model","512","8","true","0.011345327404520558","5","2","7","0.011422233277123908","","","","","","","","0.05736591989137814","0.1384928716904277","0.16530889341479973","0.26272912423625255","0.05736591989137814","0.10379590206090712","0.11479453386904037","0.14604895806904108"
"6496ec66997076f5a4518c86","NNRecommender4Hybrid","24-06-2023, 15:15:18","dzikafoczka","nn_recommender_model","1024","56","true","0.00484012928805184","4","37","9","0.0016429769911333152","","","","","","","","0.05804480651731161","0.14358452138492872","0.19076714188730481","0.2651052274270197","0.05804480651731161","0.10685894313839724","0.12649511049536072","0.15039699282495972"
"6496ec05997076f5a4518c85","NNRecommender3Hybrid","24-06-2023, 15:13:41","dzikafoczka","nn_recommender_model","256","24","true","0.024226437162031808","3","34","5","0.01800282239612605","","","","","","","","0.0471826205023761","0.12830957230142567","0.18737270875763748","0.2556008146639511","0.0471826205023761","0.0939237052771326","0.11863190531571599","0.14074862209412792"
"6496eb90997076f5a4518c84","NNRecommender7","24-06-2023, 15:11:44","dzikafoczka","nn_recommender_model","64","48","false","0.01611580698017756","7","46","3","0.015768096050434624","","","","","","","","0.04276985743380855","0.12559402579769177","0.17243720298710116","0.2406653088934148","0.04276985743380855","0.09067065309620938","0.11042839240056795","0.13231203042317483"
"6496eafb997076f5a4518c83","NNRecommender1","24-06-2023, 15:09:15","dzikafoczka","nn_recommender_model","256","32","false","0.00939464057267879","1","4","10","0.002822552453575869","","","","","","","","0.04310930074677529","0.12932790224032586","0.17651052274270196","0.24881194840461643","0.04310930074677529","0.09266286974469157","0.11235853981834053","0.13556121440549004"
